data,model,accuracy,macro_f1,f1_Benign,f1_backdoor,f1_ddos,f1_dos,f1_injection,f1_mitm,f1_password,f1_ransomware,f1_scanning,f1_xss
fhf,xgboost,0.7521551724137931,0.7085664493987112,0.9368258859784283,0.9876923076923076,0.7533875338753387,0.2222222222222222,0.46558704453441296,0.8958333333333334,0.5623188405797102,0.9693251533742331,0.7942143326758712,0.49825783972125437
fhf,random_forest,0.7481527093596059,0.7098847076238279,0.9374045801526718,0.9846625766871165,0.7547857793983591,0.3137254901960784,0.4140625,0.9243697478991597,0.5258215962441315,0.9634146341463414,0.7944664031620553,0.48613376835236544
nfv1,xgboost,0.7011574886004911,0.7006105612421377,0.9825918762088974,0.9855491329479769,0.7396768402154399,0.8701298701298701,0.45920303605313095,0.8576998050682261,0.34523809523809523,1.0,0.35294117647058826,0.413075780089153
nfv1,random_forest,0.701508242721852,0.7002931391451584,0.9788867562380038,0.9970760233918129,0.7304347826086957,0.8716707021791767,0.49812734082397003,0.8661417322834646,0.3675889328063241,1.0,0.316008316008316,0.3769968051118211
