data,model,accuracy,macro_f1,f1_Benign,f1_backdoor,f1_ddos,f1_injection,f1_mitm,f1_password,f1_scanning,f1_xss,f1_dos
fhf,xgboost,0.5546774450427648,0.5429998517566718,0.9334110923193562,0.9842468428590028,0.83793860916816,0.4687196508697523,0.5398512221041445,0.27077993693399816,0.04732291824662521,0.2617285415523353,
fhf,random_forest,0.5884201328357374,0.550248067736924,0.919676278345677,0.9882291394193042,0.8139545153455509,0.5631782357011459,0.5671981776765376,0.25853910986248707,0.04684512428298279,0.24436396126170684,
nfv1,xgboost,0.5630737449161843,0.4963267328045182,0.9967958152169343,0.984767608384325,0.47685024206274906,0.49645176619673687,0.4343220338983051,0.38320127237036294,0.12733962565989443,0.3024447408774139,0.26476749057394217
nfv1,random_forest,0.5699726711282305,0.4948920710813984,0.9969907368491838,0.9868266597104474,0.5020728235352879,0.5508555335884051,0.46539379474940334,0.3176879902845702,0.09565916398713827,0.2684856753069577,0.2700562617211919
