client,kappa,flows,undirected_edges,mean_degree,p95_degree,max_degree,isolated_rate,saturated_rate,edges_per_flow
0,2,17321,17045,1.968131170255759,2.0,2,0.0036372033947231685,0.9717683736504821,0.9840655851278794
0,5,17321,41887,4.836556780786329,5.0,5,0.000866000808267421,0.8711390797298078,2.4182783903931644
0,10,17321,84647,9.773916055654984,10.0,10,0.0005773338721782807,0.9032965764101379,4.886958027827492
0,20,17321,168536,19.460308296287742,20.0,20,0.0005773338721782807,0.8566479995381329,9.730154148143871
0,50,17321,413598,47.75682697303851,50.0,50,0.0005773338721782807,0.7664684487038854,23.878413486519253
0,none,17321,13120411,1514.9715374401017,2000.0,2000,0.0005773338721782807,0.0,757.4857687200508
1,2,31531,30163,1.913228251561955,2.0,2,0.008785005232945356,0.9220132567949002,0.9566141257809775
1,5,31531,75363,4.780248009895024,5.0,5,0.0006660112270463988,0.8451048174812089,2.390124004947512
1,10,31531,151804,9.628873172433478,10.0,10,0.000317148203355428,0.8501474739145602,4.814436586216739
1,20,31531,305551,19.380990136690876,20.0,20,0.00025371856268434237,0.8317211632996099,9.690495068345438
1,50,31531,759587,48.1803304684279,50.0,50,0.00025371856268434237,0.7996574799403762,24.09016523421395
1,none,31531,24344387,1544.1557197678476,2000.0,2000,0.00025371856268434237,0.0,772.0778598839238
2,2,43477,41086,1.8900108103134992,2.0,2,0.011914345516019964,0.901925155829519,0.9450054051567496
2,5,43477,103863,4.77783655726016,5.0,5,0.0007590220116383375,0.8464705476458817,2.38891827863008
2,10,43477,208895,9.609448674011546,10.0,10,0.0006670193435609632,0.8395703475400786,4.804724337005773
2,20,43477,418291,19.241944016376475,20.0,20,0.000575016675483589,0.8235158819605769,9.620972008188238
2,50,43477,1035996,47.6571980587437,50.0,50,0.000575016675483589,0.7837707293511512,23.82859902937185
2,none,43477,30756731,1414.8506566690435,2000.0,2000,0.000575016675483589,0.0,707.4253283345217
3,2,24621,23374,1.8987043580683156,2.0,2,0.00881361439421632,0.907517972462532,0.9493521790341578
3,5,24621,58692,4.767637382722066,5.0,5,0.0007716989561756224,0.843223264692742,2.383818691361033
3,10,24621,118228,9.603834125340157,10.0,10,0.0007310832216400634,0.841842329718533,4.8019170626700785
3,20,24621,236274,19.19288412330937,20.0,20,0.0006904674871045042,0.818447666626051,9.596442061654685
3,50,24621,590175,47.940782259047154,50.0,50,0.0006904674871045042,0.7857926160594615,23.970391129523577
3,none,24621,19110146,1552.3452337435522,2000.0,2000,0.0006904674871045042,0.0,776.1726168717761
4,2,9199,8473,1.8421567561691488,2.0,2,0.016306120230459832,0.8584628763996086,0.9210783780845744
4,5,9199,21792,4.737906294162409,5.0,5,0.0018480269594521143,0.829220567452984,2.3689531470812044
4,10,9199,43912,9.54712468746603,10.0,10,0.0016306120230459833,0.8167192086096314,4.773562343733015
4,20,9199,87614,19.04859223828677,20.0,20,0.0016306120230459833,0.7921513207957387,9.524296119143385
4,50,9199,216360,47.03989564083052,50.0,50,0.0016306120230459833,0.753016632242635,23.51994782041526
4,none,9199,2891766,628.7131209914121,1360.0,1360,0.0016306120230459833,0.0,314.35656049570605
