run_id,alpha,seed,macro_f1,balanced_accuracy,accuracy,worst_client_macro_f1
E1/toniot/main/alpha=0.5/seed=0,0.5,0,0.8395999390669104,0.8840264590694785,0.9388919635870914,0.6334855020184198
E1/toniot/main/alpha=0.5/seed=1,0.5,1,0.8773495894594332,0.931021753000677,0.940437794614401,0.6656820970280839
E1 mean,0.5,mean,0.8584747642631718,0.9075241060350778,0.9396648791007463,0.6495837995232518
E1 sd,0.5,sd,0.02669303377997426,0.033230691022605466,0.0010930676019792222,0.02276643066245044
