experiment_id,variant,alpha,seed,status,failure_reason,macro_f1,balanced_accuracy,accuracy,worst_client_macro_f1,coverage,delta_macro_f1_vs_E1,delta_balanced_accuracy_vs_E1
E5,noniid_sweep,0.3,0,completed,,0.9243132365252292,0.9357761416303948,0.935952976201836,0.8045047442644726,,,
E5,noniid_sweep,1.0,0,completed,,0.8815748102713492,0.9235595896497892,0.935762132865131,0.817112316718093,,,
E1,main,0.5,0,completed,,0.8395999390669104,0.8840264590694785,0.9388919635870914,0.6334855020184198,,0.0,0.0
E1,main,0.5,1,completed,,0.8773495894594332,0.931021753000677,0.940437794614401,0.6656820970280839,,0.0,0.0
