alpha,seed,mask_rate,masked_flows,payload_flows_available,macro_f1,balanced_accuracy,accuracy,worst_client_macro_f1
0.5,0,0.0,0,11084,0.8395999390669104,0.8840264590694785,0.9388919635870914,0.6334855020184198
0.5,0,0.25,2818,11084,0.8371937886240712,0.882335309111759,0.9374033855607932,0.6314573678918994
0.5,0,0.5,5546,11084,0.8163184222389063,0.8712500879496131,0.9270596767113876,0.6196688656785574
0.5,0,1.0,11084,11084,0.4979423038364577,0.6003526291092259,0.6887726865016508,0.3256668705896857
0.5,1,0.0,0,11084,0.8773495894594332,0.931021753000677,0.940437794614401,0.6656820970280839
0.5,1,0.25,2808,11084,0.860927569237024,0.9286221911581988,0.938682035916716,0.6577600971254621
0.5,1,0.5,5634,11084,0.8356432316183142,0.9146208756173598,0.9279757247275712,0.6458564962406106
0.5,1,1.0,11084,11084,0.5161641839645873,0.6462933856556954,0.696959865646291,0.3669934348415571
